Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Prospect Status
Spray Foam Magazine,Spray Foam Magazine,Cold,10,construction,http://www.sprayfoammagazine.com,,
Wayne's Roofing Co.,Wayne's Roofing,Cold,8,construction,http://www.waynesroofingco.com,,
Roofing Contractors Association of Washington,Roofing Contractors Association of Washington,Cold,4,construction,http://www.rcaw.com,https://www.facebook.com/rcawwa,
BASE METAL ROOFING LTD,BASE METAL ROOFING,Cold,5,construction,http://www.basemetalroofing.co.uk,,
T & T Roofing Limited,T & T Roofing Limited,Cold,6,construction,http://www.tandtroofs.co.uk,https://www.facebook.com/pages/category/Contractor/T-T-Roofing-Limited-271141959895641/,
Definitive Development LLC,Definitive Development,Cold,5,construction,http://www.definitivedevelopmentllc.com,https://www.facebook.com/pages/category/Construction-Company/Definitive-Construction-and-Roofing-112261290338438/,
West Coast Roofing Contractors Association,West Coast Roofing Contractors Association,Cold,5,construction,http://www.wcrca.net,https://www.facebook.com/WCRCAFL/,
Roofing Technology Think Tank,Roofing Technology Think Tank,Cold,7,construction,http://www.rt3thinktank.com,https://www.facebook.com/RT3Thinktank/,
MF Roofing,MF Roofing,Cold,9,construction,http://www.mf-roofing.co.uk,,
Rooney Roofing Ltd,Rooney Roofing,Cold,5,construction,http://www.prooneyroofing.ie,,
Asphalt Roofing Manufacturers Association,Asphalt Roofing Manufacturers Association,Cold,3,construction,http://www.asphaltroofing.org,https://www.facebook.com/AsphaltRoofingManufacturersAssociation/,
Reeva Impact,Reeva Impact,Cold,4,construction,http://www.reevaimpact.com,https://www.facebook.com/ReevaImpact,
Roofing Advisors UK Ltd,Roofing Advisors UK,Cold,7,construction,http://www.roofingadvisors.co.uk,https://www.facebook.com/roofingadvisors/,
The Roofing Centre,The Roofing Centre,Cold,7,construction,http://www.theroofingcentre.com,https://www.facebook.com/TheRoofingCentreMK/,
Total Roofing & Cladding (NW) Ltd,Total Roofing & Cladding,Cold,6,construction,http://www.totalroofingandcladding.co.uk,,
Reliant Roofers Inc,Reliant Roofers,Cold,6,construction,http://www.reliantroofers.com,,
Roofers World,Roofers World,Cold,10,construction,http://www.roofersworld.com,https://facebook.com/Roofers-World/303494643113637,
Ramon Roofing Inc,Ramon Roofing,Cold,7,construction,http://www.ramonroofing.com,https://www.facebook.com/Ramon-Roofing-Inc-153030394842055/,
"Specialty Roofers, Inc.",Specialty Roofers,Cold,9,construction,http://www.specialtyroofers.com,https://www.facebook.com/specialtyroofersinc,
Skyline Roofing Solutions LTD,Skyline Roofing Solutions,Cold,7,construction,http://www.skylineroofingsolutions.co.uk,https://www.facebook.com/Skylineroofingsolutionslondonltd/,
RAC Roofing & Cladding Specialist Ltd,RAC Roofing & Cladding Specialist,Cold,5,construction,http://www.racspecialist.co.uk,,
