Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status
"Stanley Flooring, UK",Stanley Flooring UK,Cold,2,construction,http://www.stanley-flooring.com,,Offline
Flowstone Industrial Flooring Ltd,Flowstone Industrial Flooring,Cold,4,construction,http://www.ukindustrialflooring.co.uk,https://www.facebook.com/Flowstone-Industrial-Flooring-Ltd-710086709019646/info,Online
Adapt Flooring Ltd,Adapt Flooring,Cold,4,construction,http://www.adaptflooring.co.uk,,Online
Contract Flooring Supplies,Contract Flooring Supplies,Cold,6,construction,http://www.contractflooring.ie,https://www.facebook.com/cfsltd/,Online
"National Flooring Contractors Apprenticeship Program, Inc",National Flooring Contractors Apprenticeship Program,Cold,1,construction,http://www.nfcap.org,,Online
FEX Flooring Experts Co.,FEX Flooring Experts,Cold,2,construction,http://www.fex-sa.com,,Offline
Southern Oaks Flooring,Southern Oaks Flooring,Cold,2,construction,http://www.southernoaksflooring.com,https://www.facebook.com/southernoaksflooring/,Online
Concord Flooring Inc,Concord Flooring,Cold,8,construction,http://www.concordflooring.ca,,Online
Munoz Flooring Solutions,Munoz Flooring Solutions,Cold,8,construction,http://www.munozfloors.com,,Online
Conway Flooring and Decking,Conway Flooring and Decking,Cold,2,construction,http://www.conwayflooring.co.za,https://www.facebook.com/conwayflooringanddecking/,Online
Rylex Flooring,Rylex Flooring,Cold,8,construction,http://www.rylexflooring.com.au,https://www.facebook.com/Rylex-Flooring-2062736307358943/,Offline
Prestige Flooring (Bristol) Ltd,Prestige Flooring,Cold,1,construction,http://www.prestigeflooringltd.co.uk,https://www.facebook.com/people/Prestige-Flooring-Bristol/100027689396878/,Online
Darwin Fisher Commercial Flooring,Darwin Fisher Commercial Flooring,Cold,3,construction,http://www.darwinfisher.com,,Online
FLOOR MASTER - Flooring Specialist UAE,FLOOR MASTER,Cold,6,construction,http://www.floormaster.ae,https://www.facebook.com/FLOORMASTER.AE,Online
FloorPro,FloorPro,Cold,6,construction,http://www.shopfloorpro.com,,Offline
BlackRock Industrial Flooring,BlackRock Industrial Flooring,Cold,7,construction,http://www.blackrockindustrial.com,https://www.facebook.com/blackrockindustrial/,Offline
Claymore Specialist Contracting,Claymore Specialist Contracting,Cold,6,construction,http://www.claymore-me.com,,Online
DECO CRETE,DECO CRETE,Cold,9,construction,http://www.decocrete.eu,,Offline
Rebuildit Inc,Rebuildit,Cold,9,construction,http://www.rebuild-it.com,https://www.facebook.com/Rebuild-it-Services-Group-784981438257258/,Online
360 Degree Flooring Ltd,360 Degree Flooring,Cold,3,construction,http://www.360degreeflooring.co.uk,https://www.facebook.com/360degreeflooring,Online
SURFACE SYSTEMS LIMITED,SURFACE SYSTEMS LIMITED,Cold,5,construction,http://www.surfacesystems.co.uk,,Online
Columbia Cabinets & Interiors,Columbia Cabinets & Interiors,Cold,2,construction,http://www.columbiacabinets.com,,Online
Best Deck & Flooring,Best Deck & Flooring,Cold,6,construction,http://www.bestdeck.co.za,https://www.facebook.com/bestdeck/,Online
Weknowflooring,Weknowflooring,Cold,2,construction,http://www.weknowflooring.co.uk,http://www.facebook.com/ndbwkfsss/,Online
Ultimate Flooring Australia,Ultimate Flooring Australia,Cold,5,construction,http://www.ultimateflooringaustralia.com.au,https://www.facebook.com/ultimateflooringaust,Online
Nationwide Flooring Contracts Limited,Nationwide Flooring Contracts Limited,Cold,5,construction,http://www.nationwideflooring.co.uk,https://www.facebook.com/Nationwide-Flooring-578541778978635/,Online
IMPERIAL FLOORING AUSTRALIA,IMPERIAL FLOORING AUSTRALIA,Cold,2,construction,http://www.imperialflooringaustralia.com.au,https://www.facebook.com/imperialflooringaustralia/,Online
AMS Nyathi Flooring,AMS Nyathi Flooring,Cold,2,construction,http://www.amsnyathigroup.co.za,https://www.facebook.com/AmsNyathiGroup/,Online
Flooring Center USA,Flooring Center USA,Cold,9,construction,http://www.flooringcenterusa.com,,Offline
Urban Flooring Systems,Urban Flooring,Cold,7,construction,http://www.urbanflooringsystems.com,,Online
Sydney Flooring Group,Sydney Flooring Group,Cold,4,construction,http://www.sydneyflooringgroup.com.au,https://facebook.com/sydneyflooring/,Offline
Waddington Flooring,Waddington Flooring,Cold,3,construction,http://www.waddingtonflooring.co.uk,https://www.facebook.com/profile.php,Online
Bravo Flooring,Bravo Flooring,Cold,9,construction,http://www.bravosfloorcovering.com,,Offline
RGD Construction Las Vegas,RGD Construction Las Vegas,Cold,6,construction,http://www.rgdlv.com,,Online
Hoff Parquet,Hoff Parquet,Cold,1,construction,http://www.hoffparquet.co.uk,https://www.facebook.com/HoffParquetUK/,Online
Network Flooring & Maintenance,Network Flooring & Maintenance,Cold,6,construction,http://www.networkflooring.net,,Online
