Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status,Social Media Links
Rees Flooring Limited,Rees Flooring Limited,Cold,10,construction,http://www.reesflooring.com,,Online,"['https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fsmall-office%2F', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fvinyl%2F', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fsectors%2F', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fcommercial-flooring%2F', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fmodern-bathroom%2F']"
"Aztec Flooring, Inc",Aztec Flooring,Cold,9,construction,http://www.aztecflooring.net,,Offline or Error,None
Rexwood Flooring,Rexwood Flooring,Cold,6,construction,http://www.rexwoodflooring.com,,Online,None
CTM Flooring,CTM Flooring,Cold,10,construction,http://www.ctmflooring.com.au,https://www.facebook.com/WheelhouseDigital/,Offline or Error,None
Hennessy Flooring Ltd,Hennessy Flooring,Cold,2,construction,http://www.hennessy-flooring.co.uk,https://www.facebook.com/hennessyflooring,Online,"['https://www.facebook.com/hennessyflooring', 'https://www.instagram.com/hennessyflooring/', 'https://www.instagram.com/hennessyflooring/', 'https://www.instagram.com/hennessyflooring/', 'https://www.facebook.com/hennessyflooring', 'https://www.instagram.com/hennessyflooring/']"
Florock Polymer Flooring,Florock Polymer Flooring,Cold,5,construction,http://www.florock.net,https://facebook.com/florock,Online,None
CONTRACT FLOORING ASSOCIATION,CONTRACT FLOORING ASSOCIATION,Cold,9,construction,http://www.cfa.org.uk,,Online,"['https://www.instagram.com/cfa_association/', 'https://www.instagram.com/cfa_association/']"
Flooring Solutions,Flooring Solutions,Cold,2,construction,http://www.flooringsolutionsni.com,,Offline or Error,None
Lasercroft Resin Flooring,Lasercroft Resin Flooring,Cold,10,construction,http://www.lasercroft.com,https://www.facebook.com/Lasercroft-Flooring-487480967977221,Online,['https://www.facebook.com/Lasercroft-Flooring-487480967977221']
Precision Flooring Sydney,Precision Flooring Sydney,Cold,5,construction,http://www.precisionflooring.com.au,,Online,['https://www.instagram.com/precisionflooringau/']
ActiCrete LTD - Specialist Resin Flooring Solutions,ActiCrete,Cold,1,construction,http://www.acticrete.co.uk,https://www.facebook.com/ActiCrete,Online,"['https://www.facebook.com/ActiCrete', 'https://www.instagram.com/acticrete/']"
Know-How Flooring Sydney,Know-How Flooring Sydney,Cold,2,construction,http://www.knowhowflooring.com.au,,Online,"['https://www.facebook.com/knowhowflooringau', 'https://www.instagram.com/knowhowflooringau/', 'https://www.facebook.com/knowhowflooringau', 'https://www.instagram.com/knowhowflooringau/', 'https://www.facebook.com/knowhowflooringau', 'https://www.instagram.com/knowhowflooringau/']"
Be Floored,Be Floored,Cold,9,construction,http://www.befloored.com.au,,Online,None
Multi-Hire Power Tools Limited - Flooring machine hire and sales.,Multi-Hire Power Tools Limited,Cold,8,construction,http://www.multi-hire.co.uk,https://www.facebook.com/multihirepowertoolslimited/,Online,"['https://www.facebook.com/multihirepowertoolslimited/', 'https://www.instagram.com/multihirepower', 'https://www.facebook.com/multihirepowertoolslimited/', 'https://www.instagram.com/multihirepower']"
"FCICA, the Flooring Contractors Association",FCICA the Flooring Contractors Association,Cold,1,construction,http://www.fcica.com,https://www.facebook.com/FCICA-136101516527688/,Online,"['https://www.facebook.com/FCICA-136101516527688/', 'https://www.instagram.com/flooringcontractors/']"
Limitless Flooring,Limitless Flooring,Cold,10,construction,http://www.limitlessflooring.co.uk,,Offline or Error,None
Resin Flooring Specialists,Resin Flooring Specialists,Cold,5,construction,http://www.resinflooringuk.com,https://www.facebook.com/Resin-Flooring-Specialists-265575883513427,Offline or Error,None
Oakley Products,Oakley Products,Cold,6,construction,http://www.oakleyproductssw.co.uk,,Online,"['https://www.facebook.com/Oakley-Products-105151775419405', 'https://www.instagram.com/oakleyproducts_woodflooring/', 'https://www.facebook.com/Oakley-Products-105151775419405', 'https://www.instagram.com/oakleyproducts_woodflooring/', 'https://www.facebook.com/Oakley-Products-105151775419405', 'https://www.instagram.com/oakleyproducts_woodflooring/']"
Aspect Flooring Solutions Ltd,Aspect Flooring Solutions,Cold,5,construction,http://www.aspectflooringsolutions.co.uk,,Online,"['https://www.facebook.com/aspectflooringsolutions/', 'https://www.facebook.com/aspectflooringsolutions/']"
Designer Epoxy Solutions,Designer Epoxy Solutions,Cold,1,construction,http://www.deskentucky.com,,Offline or Error,None
"Sencor Flooring Co., Ltd.",Sencor Flooring,Cold,2,construction,http://www.sencorfloor.com,,Offline or Error,None
Falcon Solution Ltd,Falcon Solution,Cold,8,construction,http://www.falconsolutionbd.com,https://www.facebook.com/falconsolutionltdbd,Online,"['https://www.facebook.com/falconsolutionltdbd', 'https://www.instagram.com/falconsolutionltd', 'https://www.facebook.com/falconsolutionltdbd']"
"Stanley Flooring, UK",Stanley Flooring UK,Cold,2,construction,http://www.stanley-flooring.com,,Offline or Error,None
